Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-18_13:20:30,33.3,33.3,33.3,32.4,33.3,32.4,33.3,1472.0,1800.0,2208.0,408.0,17.0,14.3,0.0,0.0,0.0,83.3,0.0,0.0,14.3
2026-03-18_13:20:30,32.4,32.4,32.4,32.4,32.4,32.4,32.4,408.0,408.0,408.0,408.0,1.9,5.6,0.0,1.9,0.0,7.7,1.9,0.0,0.0
2026-03-18_13:20:31,31.5,31.5,32.4,32.4,32.4,31.5,31.5,408.0,408.0,408.0,408.0,4.1,7.7,5.6,1.9,3.8,11.3,1.9,5.7,0.0
2026-03-18_13:20:31,32.4,32.4,32.4,32.4,32.4,32.4,32.4,672.0,1200.0,408.0,408.0,2.9,3.8,0.0,0.0,0.0,11.5,1.9,0.0,1.9
2026-03-18_13:20:32,31.5,32.4,32.4,31.5,32.4,32.4,32.4,408.0,408.0,408.0,408.0,2.4,3.8,1.9,0.0,0.0,9.8,0.0,1.9,0.0
2026-03-18_13:20:32,31.5,31.5,31.5,31.5,32.4,31.5,32.4,408.0,408.0,408.0,408.0,3.4,5.8,1.9,0.0,0.0,9.4,3.8,3.8,1.9
2026-03-18_13:20:33,31.5,31.5,31.5,31.5,32.4,32.4,32.4,408.0,408.0,408.0,408.0,3.6,5.9,0.0,5.6,2.0,9.6,0.0,3.8,0.0
2026-03-18_13:20:34,31.5,32.4,32.4,31.5,32.4,31.5,31.5,408.0,408.0,408.0,408.0,2.9,5.8,2.0,2.0,0.0,7.8,1.9,5.6,0.0
2026-03-18_13:20:34,31.5,31.5,31.5,31.5,32.4,31.5,31.5,408.0,408.0,408.0,408.0,3.4,5.8,2.0,3.9,0.0,11.5,0.0,2.0,1.9
2026-03-18_13:20:35,31.5,31.5,31.5,31.5,32.4,31.5,31.5,408.0,408.0,408.0,408.0,4.1,2.0,3.8,3.8,0.0,11.5,0.0,3.8,0.0
2026-03-18_13:20:35,31.5,32.4,31.5,31.5,32.4,32.4,31.5,672.0,1200.0,408.0,408.0,8.7,2.0,3.8,28.6,10.7,11.8,10.9,3.8,1.9
2026-03-18_13:20:36,32.4,32.4,31.5,31.5,32.4,31.5,31.5,672.0,1200.0,408.0,408.0,8.2,7.5,1.9,20.3,9.1,10.0,7.4,2.0,0.0
2026-03-18_13:20:36,32.4,32.4,32.4,32.4,32.4,32.4,32.4,672.0,1200.0,408.0,408.0,7.2,16.1,1.9,9.6,3.8,20.4,3.8,3.8,2.0
2026-03-18_13:20:37,32.4,32.4,33.3,32.4,32.4,32.4,32.4,672.0,1200.0,408.0,408.0,13.6,4.0,2.0,30.9,16.1,20.0,19.0,5.7,5.9
2026-03-18_13:20:37,32.4,32.4,32.4,32.4,32.4,32.4,32.4,672.0,1200.0,408.0,408.0,4.4,1.9,0.0,7.7,3.9,20.8,1.9,1.9,0.0
2026-03-18_13:20:38,31.5,32.4,32.4,32.4,32.4,31.5,31.5,408.0,408.0,408.0,408.0,5.3,5.7,1.9,0.0,7.8,17.3,5.7,0.0,1.9
2026-03-18_13:20:38,31.5,32.4,32.4,31.5,32.4,31.5,32.4,408.0,408.0,408.0,408.0,4.3,3.8,1.9,0.0,9.4,17.0,3.8,0.0,0.0
2026-03-18_13:20:39,31.5,32.4,32.4,31.5,32.4,31.5,32.4,408.0,408.0,408.0,408.0,4.8,3.8,1.9,0.0,7.7,15.7,5.7,0.0,0.0
2026-03-18_13:20:39,31.5,32.4,32.4,31.5,32.4,31.5,32.4,408.0,408.0,408.0,408.0,5.7,9.4,0.0,1.9,7.8,18.9,7.4,0.0,1.9
