Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-23_03:33:44,44.4,44.4,44.4,43.5,44.4,44.4,44.4,1672.0,1800.0,1008.0,2208.0,13.3,10.0,0.0,0.0,0.0,60.0,0.0,0.0,50.0
2026-03-23_03:33:45,43.5,44.4,44.4,43.5,44.4,44.4,44.4,408.0,408.0,408.0,408.0,4.1,3.8,0.0,11.5,0.0,11.8,1.9,0.0,0.0
2026-03-23_03:33:45,43.5,43.5,43.5,43.5,43.5,43.5,43.5,408.0,408.0,408.0,408.0,4.6,3.9,3.8,9.6,0.0,15.4,0.0,0.0,1.9
2026-03-23_03:33:46,43.5,43.5,43.5,43.5,43.5,43.5,43.5,408.0,408.0,408.0,408.0,4.3,3.9,3.8,9.6,0.0,17.3,0.0,0.0,0.0
2026-03-23_03:33:46,43.5,43.5,43.5,43.5,43.5,43.5,43.5,408.0,408.0,408.0,408.0,5.5,7.5,5.6,5.8,1.9,23.1,0.0,1.9,0.0
2026-03-23_03:33:47,43.5,43.5,43.5,43.5,43.5,43.5,43.5,408.0,408.0,408.0,408.0,5.5,11.1,3.8,1.9,0.0,17.3,0.0,5.9,1.9
2026-03-23_03:33:47,43.5,43.5,42.5,43.5,43.5,43.5,43.5,408.0,408.0,408.0,408.0,3.8,5.8,5.6,1.9,0.0,15.4,2.0,0.0,0.0
2026-03-23_03:33:48,43.5,43.5,43.5,43.5,43.5,43.5,43.5,408.0,408.0,408.0,408.0,4.6,5.9,5.6,0.0,0.0,17.3,3.8,0.0,0.0
2026-03-23_03:33:48,43.5,43.5,43.5,43.5,43.5,43.5,43.5,408.0,408.0,408.0,408.0,3.8,7.7,3.7,0.0,0.0,15.7,3.8,0.0,1.9
2026-03-23_03:33:49,43.5,43.5,43.5,43.5,43.5,43.5,43.5,408.0,408.0,408.0,408.0,4.8,7.7,3.8,1.9,0.0,17.3,5.7,0.0,1.9
2026-03-23_03:33:49,43.5,44.4,44.4,43.5,44.4,43.5,43.5,672.0,1200.0,408.0,408.0,6.3,13.5,1.9,1.9,0.0,24.5,5.9,0.0,0.0
2026-03-23_03:33:50,53.6,53.6,48.1,46.2,51.8,49.0,50.8,2136.0,1800.0,2352.0,2256.0,73.7,76.5,70.6,71.7,69.2,88.5,72.5,70.6,69.2
2026-03-23_03:33:50,57.3,57.3,49.9,49.0,55.5,51.8,54.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_03:33:51,58.2,58.2,50.8,49.9,56.4,52.7,55.5,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
