Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-26_06:21:39,36.1,36.1,36.1,35.2,36.1,36.1,36.1,1488.0,1800.0,2256.0,408.0,15.8,18.2,0.0,0.0,0.0,63.6,0.0,33.3,0.0
2026-03-26_06:21:39,35.2,35.2,35.2,35.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,5.0,5.6,1.9,0.0,5.7,7.5,1.9,15.1,5.5
2026-03-26_06:21:40,35.2,35.2,35.2,35.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,6.2,9.3,1.9,2.0,7.7,0.0,11.3,1.9,13.7
2026-03-26_06:21:41,35.2,36.1,35.2,35.2,36.1,35.2,35.2,408.0,408.0,408.0,408.0,3.1,3.8,0.0,1.9,0.0,1.9,0.0,0.0,15.4
2026-03-26_06:21:41,35.2,35.2,35.2,35.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,4.3,7.4,1.9,3.9,3.9,0.0,2.0,0.0,15.1
2026-03-26_06:21:42,36.1,36.1,35.2,35.2,36.1,35.2,35.2,672.0,1200.0,408.0,408.0,6.3,3.8,0.0,9.6,13.2,4.0,0.0,1.9,15.7
2026-03-26_06:21:42,35.2,36.1,35.2,35.2,36.1,35.2,36.1,408.0,408.0,408.0,408.0,9.1,7.4,0.0,1.9,0.0,35.2,0.0,1.9,25.9
2026-03-26_06:21:43,35.2,35.2,35.2,35.2,36.1,36.1,36.1,408.0,408.0,408.0,408.0,7.1,18.2,5.6,1.9,7.7,3.8,1.9,1.9,15.4
2026-03-26_06:21:43,35.2,35.2,35.2,35.2,36.1,35.2,35.2,408.0,408.0,408.0,408.0,7.0,5.7,9.6,2.0,5.6,1.9,3.8,7.7,19.6
2026-03-26_06:21:44,35.2,35.2,35.2,35.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,3.9,5.7,2.0,2.0,0.0,1.9,1.9,0.0,19.6
2026-03-26_06:21:44,35.2,35.2,35.2,35.2,36.1,35.2,35.2,472.0,600.0,408.0,408.0,5.3,7.7,1.9,6.0,1.9,1.9,0.0,0.0,22.6
2026-03-26_06:21:45,35.2,36.1,35.2,35.2,35.2,35.2,36.1,408.0,408.0,408.0,408.0,10.4,6.0,3.8,9.4,0.0,0.0,5.8,9.4,49.0
2026-03-26_06:21:45,35.2,35.2,35.2,35.2,36.1,35.2,35.2,408.0,408.0,408.0,408.0,7.4,22.2,1.9,3.8,1.9,1.9,1.9,5.8,18.9
2026-03-26_06:21:46,35.2,35.2,35.2,35.2,36.1,35.2,35.2,408.0,408.0,408.0,408.0,3.4,2.0,0.0,3.8,0.0,0.0,0.0,0.0,18.9
2026-03-26_06:21:46,35.2,35.2,35.2,35.2,36.1,35.2,36.1,408.0,408.0,408.0,408.0,4.3,5.7,0.0,2.0,0.0,1.9,0.0,1.9,18.9
2026-03-26_06:21:47,35.2,35.2,35.2,35.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,3.6,2.0,0.0,5.8,0.0,5.7,0.0,0.0,15.4
2026-03-26_06:21:47,35.2,35.2,35.2,35.2,36.1,36.1,36.1,408.0,408.0,408.0,408.0,4.3,3.8,1.9,3.8,1.9,23.1,0.0,0.0,0.0
2026-03-26_06:21:48,35.2,35.2,35.2,35.2,36.1,35.2,35.2,408.0,408.0,408.0,408.0,8.0,13.0,2.0,9.6,1.9,23.5,7.5,7.4,5.7
2026-03-26_06:21:48,40.7,40.7,37.0,36.1,39.8,37.9,39.8,2088.0,1800.0,2256.0,2208.0,45.7,45.3,42.3,46.0,44.2,59.6,42.3,42.3,43.1
2026-03-26_06:21:49,48.1,49.0,41.6,39.8,46.2,42.5,45.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:49,50.8,49.9,42.5,41.6,48.1,44.4,47.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:50,51.8,51.8,44.4,42.5,49.0,45.3,48.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:50,52.7,52.7,44.4,43.5,49.9,46.2,49.0,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:51,52.7,53.6,45.3,44.4,50.8,47.2,49.9,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:51,53.6,53.6,46.2,45.3,51.8,47.2,50.8,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:52,54.5,54.5,46.2,45.3,52.7,48.1,50.8,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:52,54.5,54.5,47.2,45.3,52.7,48.1,51.8,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:53,55.5,55.5,47.2,46.2,52.7,49.0,51.8,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:53,55.5,55.5,48.1,46.2,52.7,49.0,52.7,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:54,55.5,55.5,48.1,47.2,53.6,49.0,52.7,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:54,56.4,56.4,49.0,47.2,53.6,49.9,52.7,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:55,56.4,56.4,48.1,47.2,53.6,49.9,52.7,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:55,56.4,56.4,49.0,47.2,54.5,49.9,53.6,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:56,56.4,57.3,49.0,48.1,54.5,49.9,53.6,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:56,57.3,57.3,49.0,48.1,54.5,50.8,53.6,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:57,57.3,57.3,49.0,48.1,55.5,50.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:57,57.3,57.3,49.9,48.1,55.5,50.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:58,57.3,57.3,49.9,49.0,55.5,50.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:58,58.2,58.2,49.9,49.0,55.5,50.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:59,58.2,58.2,49.9,49.0,55.5,51.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:21:59,58.2,58.2,49.9,49.0,55.5,51.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:00,58.2,58.2,50.8,49.0,56.4,51.8,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:01,58.2,58.2,50.8,49.0,56.4,51.8,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:01,58.2,59.2,50.8,49.9,56.4,51.8,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:02,59.2,59.2,50.8,49.9,56.4,52.7,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:02,59.2,59.2,50.8,49.9,56.4,52.7,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:03,59.2,59.2,51.8,49.9,57.3,52.7,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:03,59.2,59.2,51.8,49.9,57.3,52.7,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:04,59.2,60.1,51.8,49.9,57.3,52.7,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:04,60.1,60.1,51.8,49.9,57.3,52.7,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:05,59.2,60.1,51.8,49.9,57.3,52.7,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:05,60.1,60.1,51.8,50.8,57.3,53.6,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:06,60.1,60.1,51.8,50.8,57.3,53.6,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:06,60.1,60.1,52.7,50.8,58.2,53.6,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_06:22:07,60.1,60.1,52.7,50.8,58.2,53.6,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
