Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-26_06:49:24,35.2,36.1,34.2,33.3,35.2,34.2,35.2,1472.0,1800.0,408.0,2208.0,15.0,12.5,0.0,0.0,0.0,0.0,0.0,75.0,25.0
2026-03-26_06:49:24,34.2,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,4.1,3.9,9.6,2.0,0.0,1.9,5.9,2.0,5.9
2026-03-26_06:49:25,34.2,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,7.2,7.5,11.5,1.9,5.7,8.0,3.8,20.8,1.9
2026-03-26_06:49:26,34.2,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,3.8,5.7,5.7,0.0,0.0,0.0,0.0,17.6,0.0
2026-03-26_06:49:26,34.2,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,4.8,5.7,1.9,1.9,1.9,0.0,1.9,23.1,2.0
2026-03-26_06:49:27,34.2,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,3.1,3.8,0.0,0.0,0.0,1.9,0.0,17.0,3.8
2026-03-26_06:49:27,34.2,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,3.1,2.0,0.0,3.7,0.0,0.0,0.0,17.6,0.0
2026-03-26_06:49:28,34.2,34.2,34.2,33.3,34.2,34.2,34.2,408.0,408.0,408.0,408.0,6.0,2.0,5.7,0.0,1.9,1.9,9.6,19.2,9.3
2026-03-26_06:49:28,33.3,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,3.4,3.9,1.9,3.8,1.9,3.8,0.0,15.4,0.0
2026-03-26_06:49:29,34.2,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,5.0,5.9,1.9,1.9,1.9,19.6,0.0,3.8,1.9
2026-03-26_06:49:29,34.2,34.2,34.2,34.2,34.2,34.2,34.2,408.0,408.0,408.0,408.0,4.5,7.7,3.8,1.9,0.0,19.2,0.0,0.0,1.9
2026-03-26_06:49:30,33.3,34.2,33.3,33.3,34.2,33.3,34.2,408.0,408.0,408.0,408.0,3.8,3.8,0.0,2.0,0.0,20.8,0.0,0.0,1.9
2026-03-26_06:49:30,34.2,34.2,34.2,33.3,34.2,34.2,34.2,408.0,408.0,408.0,408.0,13.0,18.9,13.5,2.0,17.3,26.4,13.5,1.9,13.5
