Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-26_06:35:59,38.8,38.8,37.0,37.0,37.9,37.0,37.9,1488.0,1800.0,2256.0,408.0,18.6,0.0,0.0,0.0,0.0,0.0,100.0,12.5,28.6
2026-03-26_06:35:59,37.0,37.0,37.0,36.1,37.0,37.0,37.0,408.0,408.0,408.0,408.0,13.4,8.2,7.7,8.0,18.9,5.8,13.2,9.8,35.8
2026-03-26_06:36:00,37.0,37.0,36.1,37.0,37.0,37.0,37.0,408.0,408.0,408.0,408.0,16.3,44.2,9.4,8.0,7.8,7.8,6.1,21.6,21.6
2026-03-26_06:36:01,37.0,37.0,37.0,36.1,37.0,37.0,37.0,408.0,408.0,408.0,408.0,14.1,44.0,6.0,7.7,5.8,3.8,7.5,21.2,18.5
2026-03-26_06:36:01,37.0,37.0,36.1,36.1,37.0,37.0,37.0,408.0,408.0,408.0,408.0,11.0,19.6,18.0,4.0,4.0,4.0,7.8,19.2,7.7
2026-03-26_06:36:02,36.1,36.1,36.1,36.1,37.0,36.1,36.1,408.0,408.0,408.0,408.0,7.4,16.7,3.7,5.7,0.0,3.8,7.4,23.5,2.0
2026-03-26_06:36:02,36.1,36.1,36.1,36.1,36.1,36.1,36.1,408.0,408.0,408.0,408.0,3.1,3.8,1.9,2.0,0.0,2.0,0.0,15.4,0.0
2026-03-26_06:36:03,36.1,36.1,36.1,36.1,36.1,36.1,36.1,408.0,408.0,408.0,408.0,5.3,9.8,3.8,5.8,0.0,3.7,1.9,15.4,0.0
2026-03-26_06:36:03,36.1,36.1,36.1,36.1,36.1,36.1,36.1,408.0,408.0,408.0,408.0,3.8,3.8,0.0,5.8,1.9,0.0,1.9,17.3,0.0
2026-03-26_06:36:04,36.1,36.1,36.1,36.1,36.1,36.1,36.1,408.0,408.0,408.0,408.0,3.1,0.0,0.0,5.7,0.0,1.9,0.0,17.3,0.0
