Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-18_12:32:54,31.5,31.5,31.5,30.5,31.5,30.5,31.5,1472.0,1800.0,2208.0,408.0,16.7,12.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2026-03-18_12:32:55,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.6,7.7,1.9,9.4,0.0,1.9,5.9,1.9,1.9
2026-03-18_12:32:55,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,4.1,5.8,3.8,0.0,3.8,3.8,13.5,0.0,5.6
2026-03-18_12:32:56,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,4.8,5.8,0.0,5.8,0.0,3.8,15.4,5.6,1.9
2026-03-18_12:32:56,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,4.6,9.4,3.8,5.8,1.9,0.0,13.5,0.0,1.9
2026-03-18_12:32:57,29.6,30.5,30.5,29.6,30.5,30.5,29.6,408.0,408.0,408.0,408.0,4.6,9.6,1.9,5.9,1.9,1.9,13.5,0.0,0.0
2026-03-18_12:32:57,29.6,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,5.0,9.4,0.0,0.0,1.9,3.8,17.3,3.8,3.8
2026-03-18_12:32:58,29.6,30.5,30.5,30.5,30.5,30.5,29.6,408.0,408.0,408.0,408.0,4.1,5.8,1.9,5.8,0.0,0.0,3.8,15.4,1.9
2026-03-18_12:32:58,29.6,30.5,30.5,29.6,30.5,29.6,29.6,408.0,408.0,408.0,408.0,5.0,5.7,1.9,7.5,3.7,0.0,3.8,15.4,3.8
2026-03-18_12:32:59,29.6,30.5,30.5,29.6,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.9,7.4,0.0,5.8,1.9,0.0,0.0,17.6,0.0
2026-03-18_12:33:00,29.6,29.6,29.6,29.6,30.5,29.6,29.6,408.0,408.0,408.0,408.0,5.8,5.7,1.9,5.9,2.0,0.0,0.0,17.6,3.8
2026-03-18_12:33:00,30.5,30.5,30.5,30.5,30.5,30.5,30.5,672.0,1200.0,408.0,408.0,7.2,15.1,1.9,7.7,1.9,2.0,2.0,24.5,0.0
2026-03-18_12:33:01,30.5,30.5,31.5,30.5,30.5,30.5,30.5,672.0,1200.0,408.0,408.0,3.6,1.9,1.9,5.8,0.0,3.7,0.0,15.4,2.0
