Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-26_03:59:50,31.5,31.5,30.5,30.5,31.5,30.5,31.5,1472.0,1800.0,2208.0,408.0,15.7,9.1,0.0,0.0,0.0,72.7,0.0,30.0,10.0
2026-03-26_03:59:51,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,4.3,3.8,3.8,3.8,3.8,0.0,1.9,17.0,1.9
2026-03-26_03:59:51,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,6.7,7.4,3.8,11.3,9.6,3.8,0.0,15.4,1.9
2026-03-26_03:59:52,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.4,1.9,0.0,1.9,5.6,0.0,0.0,17.0,0.0
2026-03-26_03:59:52,30.5,30.5,30.5,29.6,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.8,3.8,1.9,0.0,3.9,0.0,1.9,13.7,3.8
2026-03-26_03:59:53,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.9,0.0,0.0,0.0,3.8,0.0,1.9,23.1,0.0
2026-03-26_03:59:53,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.6,3.8,1.9,1.9,5.8,1.9,0.0,17.0,0.0
2026-03-26_03:59:54,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.6,3.9,0.0,0.0,3.8,0.0,0.0,13.7,1.9
2026-03-26_03:59:54,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.4,5.7,0.0,3.8,5.7,0.0,0.0,15.4,1.9
2026-03-26_03:59:55,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.6,2.0,1.9,0.0,3.8,0.0,1.9,15.4,0.0
2026-03-26_03:59:55,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.6,3.8,0.0,0.0,5.8,0.0,0.0,17.3,0.0
2026-03-26_03:59:56,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,6.2,7.5,3.8,3.8,7.7,5.7,9.4,13.7,1.9
2026-03-26_03:59:56,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.6,5.7,0.0,1.9,3.8,0.0,0.0,17.0,0.0
2026-03-26_03:59:57,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,5.5,7.5,5.8,3.8,3.9,0.0,1.9,18.9,1.9
2026-03-26_03:59:57,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,3.6,3.8,1.9,0.0,5.7,0.0,0.0,17.6,0.0
2026-03-26_03:59:58,30.5,30.5,30.5,30.5,30.5,30.5,30.5,472.0,600.0,408.0,408.0,7.9,11.1,1.9,2.0,13.2,0.0,1.9,21.2,8.0
2026-03-26_03:59:59,30.5,30.5,30.5,29.6,30.5,30.5,30.5,408.0,408.0,408.0,408.0,4.5,7.4,1.9,0.0,5.7,0.0,0.0,22.6,0.0
2026-03-26_03:59:59,30.5,30.5,30.5,30.5,30.5,30.5,30.5,408.0,408.0,408.0,408.0,4.6,2.0,0.0,3.7,5.8,0.0,3.8,20.8,1.9
2026-03-26_04:00:00,41.6,41.6,35.2,33.3,39.8,36.1,38.8,2120.0,1800.0,2256.0,2304.0,80.0,76.9,75.0,76.5,80.4,82.7,76.5,98.0,72.5
2026-03-26_04:00:00,44.4,45.3,37.0,36.1,42.5,38.8,41.6,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_04:00:01,46.2,46.2,38.8,37.0,44.4,39.8,43.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_04:00:01,47.2,47.2,39.8,37.9,45.3,41.6,44.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_04:00:02,48.1,48.1,40.7,38.8,46.2,41.6,45.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_04:00:02,49.0,49.0,40.7,39.8,46.2,42.5,45.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_04:00:03,49.0,49.0,41.6,39.8,47.2,42.5,46.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_04:00:03,49.9,49.9,41.6,40.7,47.2,43.5,46.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
