Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-26_07:47:50,36.1,36.1,35.2,34.2,36.1,35.2,36.1,1504.0,1800.0,408.0,2304.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,14.3,100.0
2026-03-26_07:47:51,35.2,35.2,35.2,34.2,35.2,34.2,35.2,408.0,408.0,408.0,408.0,3.9,3.8,5.8,1.9,1.9,6.0,1.9,1.9,7.7
2026-03-26_07:47:51,35.2,35.2,34.2,34.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,6.3,5.8,1.9,9.4,1.9,11.3,3.8,2.0,19.2
2026-03-26_07:47:52,35.2,34.2,34.2,34.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,3.8,1.9,2.0,0.0,0.0,1.9,0.0,3.8,15.7
2026-03-26_07:47:52,35.2,34.2,35.2,34.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,6.0,7.4,5.7,1.9,1.9,0.0,3.8,3.8,22.6
2026-03-26_07:47:53,35.2,35.2,34.2,34.2,35.2,34.2,35.2,408.0,408.0,408.0,408.0,3.8,3.8,1.9,1.9,0.0,0.0,3.8,1.9,15.7
2026-03-26_07:47:54,34.2,35.2,34.2,34.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,4.6,3.8,3.8,0.0,0.0,1.9,3.8,3.8,20.8
2026-03-26_07:47:54,35.2,35.2,35.2,34.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,3.8,5.7,0.0,1.9,1.9,3.8,1.9,0.0,17.3
2026-03-26_07:47:55,35.2,34.2,34.2,34.2,35.2,35.2,35.2,408.0,408.0,408.0,408.0,3.8,1.9,3.8,0.0,0.0,3.9,0.0,1.9,17.3
2026-03-26_07:47:55,35.2,35.2,35.2,34.2,35.2,34.2,35.2,608.0,600.0,816.0,408.0,4.3,1.9,3.8,0.0,0.0,3.8,9.4,1.9,15.1
2026-03-26_07:47:56,46.2,46.2,38.8,37.9,43.5,40.7,43.5,2120.0,1800.0,2256.0,2304.0,82.4,82.7,82.0,82.0,78.4,80.4,96.2,78.0,80.4
2026-03-26_07:47:56,49.0,49.0,41.6,40.7,47.2,43.5,46.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:47:57,50.8,50.8,43.5,41.6,49.0,44.4,48.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:47:57,51.8,52.7,44.4,43.5,49.9,46.2,49.0,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:47:58,52.7,53.6,45.3,44.4,50.8,47.2,49.9,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:47:58,53.6,54.5,46.2,44.4,51.8,47.2,50.8,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:47:59,54.5,54.5,47.2,45.3,52.7,48.1,51.8,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:47:59,55.5,55.5,47.2,46.2,52.7,49.0,51.8,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:00,55.5,55.5,48.1,46.2,53.6,49.0,52.7,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:00,56.4,56.4,48.1,47.2,54.5,49.9,52.7,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:01,56.4,56.4,49.0,47.2,54.5,49.9,53.6,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:01,57.3,57.3,49.0,48.1,54.5,50.8,53.6,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:02,57.3,57.3,49.0,48.1,55.5,50.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:02,57.3,58.2,49.9,48.1,55.5,50.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:03,58.2,58.2,49.9,49.0,55.5,51.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:03,58.2,58.2,49.9,49.0,55.5,51.8,54.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:04,58.2,58.2,50.8,49.0,56.4,52.7,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:04,59.2,59.2,50.8,49.0,56.4,52.7,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:05,59.2,59.2,50.8,49.0,56.4,52.7,55.5,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:05,59.2,59.2,51.8,49.9,56.4,52.7,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:06,59.2,60.1,51.8,49.9,57.3,52.7,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:06,60.1,60.1,51.8,49.9,57.3,52.7,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:07,60.1,60.1,51.8,50.8,57.3,53.6,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:07,60.1,60.1,51.8,50.8,58.2,53.6,56.4,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:08,60.1,60.1,52.7,50.8,58.2,53.6,57.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:08,60.1,61.0,52.7,50.8,58.2,53.6,57.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:09,61.0,61.0,52.7,51.8,58.2,53.6,57.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:09,61.0,61.0,52.7,50.8,58.2,53.6,57.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:10,61.0,61.0,52.7,51.8,59.2,54.5,57.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:10,61.0,61.0,52.7,51.8,59.2,54.5,57.3,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:11,61.0,61.0,52.7,51.8,59.2,54.5,58.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:11,61.9,61.9,53.6,51.8,59.2,54.5,58.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:12,61.9,61.9,53.6,52.7,60.1,55.5,58.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:12,61.9,61.9,53.6,52.7,60.1,55.5,58.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:13,61.9,61.9,54.5,52.7,60.1,55.5,58.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:13,61.9,62.8,53.6,52.7,60.1,55.5,59.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:14,61.9,62.8,54.5,52.7,60.1,55.5,59.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:14,62.8,62.8,54.5,52.7,60.1,55.5,59.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:15,62.8,62.8,54.5,52.7,60.1,56.4,59.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:15,62.8,62.8,54.5,52.7,60.1,56.4,59.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:16,62.8,62.8,54.5,53.6,61.0,55.5,59.2,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:16,62.8,63.8,54.5,52.7,61.0,56.4,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:17,62.8,63.8,54.5,53.6,61.0,56.4,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:17,63.8,63.8,55.5,53.6,61.0,56.4,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:18,63.8,63.8,55.5,53.6,61.0,56.4,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:18,63.8,63.8,55.5,53.6,61.0,56.4,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:19,63.8,63.8,55.5,53.6,61.9,57.3,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:19,63.8,63.8,55.5,53.6,61.0,56.4,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:20,63.8,63.8,55.5,54.5,61.9,57.3,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-26_07:48:20,63.8,63.8,55.5,54.5,61.9,57.3,60.1,2120.0,1800.0,2256.0,2304.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
